iter	Passed	Remaining
665	32712	16405
666	32775	16362
667	32839	16321
668	32890	16273
669	32938	16223
670	32984	16172
671	33043	16128
672	33094	16079
673	33154	16036
674	33210	15990
675	33273	15947
676	33355	15914
677	33399	15862
678	33456	15816
679	33491	15760
680	33546	15714
681	33609	15671
682	33668	15626
683	33708	15573
684	33741	15516
685	33806	15474
686	33855	15424
687	33919	15382
688	33979	15337
689	34044	15295
690	34122	15258
691	34184	15214
692	34252	15173
693	34324	15134
694	34364	15080
695	34432	15039
696	34484	14991
697	34521	14936
698	34579	14890
699	34621	14837
700	34675	14790
701	34722	14739
702	34756	14683
703	34803	14633
704	34844	14580
705	34907	14536
706	34942	14481
707	34981	14427
708	35044	14383
709	35085	14330
710	35141	14283
711	35217	14245
712	35272	14198
713	35342	14156
714	35399	14110
715	35433	14054
716	35504	14013
717	35542	13959
718	35578	13904
719	35619	13851
720	35694	13812
721	35716	13752
722	35781	13708
723	35810	13651
724	35877	13608
725	35932	13561
726	35958	13503
727	36007	13453
728	36036	13396
729	36073	13342
730	36109	13288
731	36139	13231
732	36182	13179
733	36231	13130
734	36269	13076
735	36311	13024
736	36358	12974
737	36388	12918
738	36437	12868
739	36478	12816
740	36508	12760
741	36562	12712
742	36604	12661
743	36656	12612
744	36712	12565
745	36735	12507
746	36801	12464
747	36832	12408
748	36861	12352
749	36917	12305
750	36955	12252
751	37068	12224
752	37129	12179
753	37179	12130
754	37238	12083
755	37317	12044
756	37367	11995
757	37429	11949
758	37495	11905
759	37556	11859
760	37605	11810
761	37649	11759
762	37696	11709
763	37777	11669
764	37839	11623
765	37885	11573
766	37933	11523
767	38027	11487
768	38072	11436
769	38112	11384
770	38178	11339
771	38246	11295
772	38287	11243
773	38318	11188
774	38355	11135
775	38385	11080
776	38448	11034
777	38490	10983
778	38523	10929
779	38555	10874
780	38603	10824
781	38628	10768
782	38651	10711
783	38689	10659
784	38742	10610
785	38800	10563
786	38903	10529
787	38952	10479
788	39005	10431
789	39051	10380
790	39083	10326
791	39120	10274
792	39176	10226
793	39224	10176
794	39273	10127
795	39339	10081
796	39372	10028
797	39410	9976
798	39449	9924
799	39483	9870
800	39516	9817
801	39562	9767
802	39605	9716
803	39654	9667
804	39672	9610
805	39730	9562
806	39803	9519
807	39881	9476
808	39939	9429
809	39999	9382
810	40052	9334
811	40106	9285
812	40157	9236
813	40234	9193
814	40279	9143
815	40368	9102
816	40421	9054
817	40467	9003
818	40548	8961
819	40595	8911
820	40639	8860
821	40677	8808
822	40749	8763
823	40809	8716
824	40856	8666
825	40914	8618
826	40952	8566
827	41024	8521
828	41064	8470
829	41120	8422
830	41161	8371
831	41215	8322
832	41290	8277
833	41329	8226
834	41368	8174
835	41408	8123
836	41451	8072
837	41504	8023
838	41558	7974
839	41612	7926
840	41645	7873
841	41691	7823
842	41726	7771
843	41773	7721
844	41822	7671
845	41857	7619
846	41902	7569
847	41943	7518
848	41994	7468
849	42037	7418
850	42073	7366
851	42127	7317
852	42168	7267
853	42216	7217
854	42286	7171
855	42331	7121
856	42399	7074
857	42437	7023
858	42484	6973
859	42546	6926
860	42588	6875
861	42624	6823
862	42671	6773
863	42706	6722
864	42750	6672
865	42856	6631
866	42902	6581
867	42927	6528
868	42976	6478
869	43012	6427
870	43076	6379
871	43200	6341
872	43293	6298
873	43350	6249
874	43400	6200
875	43462	6152
876	43562	6109
877	43638	6063
878	43684	6013
879	43742	5964
880	43791	5915
881	43831	5864
882	43894	5816
883	43944	5766
884	43981	5715
885	44041	5666
886	44083	5616
887	44154	5569
888	44193	5517
889	44228	5466
890	44290	5418
891	44328	5367
892	44393	5319
893	44431	5268
894	44489	5219
895	44538	5169
896	44587	5119
897	44645	5071
898	44706	5022
899	44771	4974
900	44822	4924
901	44894	4877
902	44962	4829
903	45023	4781
904	45078	4731
905	45125	4681
906	45177	4632
907	45227	4582
908	45262	4531
909	45327	4482
910	45374	4432
911	45426	4383
912	45475	4333
913	45530	4284
914	45577	4233
915	45606	4182
916	45653	4132
917	45718	4083
918	45752	4032
919	45776	3980
920	45840	3932
921	45889	3882
922	45940	3832
923	45993	3782
924	46050	3733
925	46088	3683
926	46148	3634
927	46181	3583
928	46226	3532
929	46303	3485
930	46372	3436
931	46430	3387
932	46483	3338
933	46520	3287
934	46565	3237
935	46629	3188
936	46654	3136
937	46711	3087
938	46743	3036
939	46781	2986
940	46818	2935
941	46873	2886
942	46900	2834
943	46959	2785
944	47002	2735
945	47054	2685
946	47122	2637
947	47180	2587
948	47220	2537
949	47265	2487
950	47300	2437
951	47320	2385
952	47370	2336
953	47398	2285
954	47422	2234
955	47468	2184
956	47488	2133
957	47539	2084
958	47579	2034
959	47652	1985
960	47684	1935
961	47726	1885
962	47762	1835
963	47815	1785
964	47871	1736
965	47947	1687
966	47995	1637
967	48017	1587
968	48064	1537
969	48087	1487
970	48140	1437
971	48179	1387
972	48212	1337
