iter	Accuracy	Logloss
143	0.7158854365	0.5902556945
144	0.7158854365	0.590255582
145	0.7158854365	0.5902555292
146	0.7158854365	0.5902554161
147	0.7158854365	0.5902554161
148	0.7158854365	0.5902553433
149	0.7158854365	0.5902552892
150	0.7158854365	0.5902552892
151	0.7158854365	0.5902552892
152	0.7158854365	0.5902552892
153	0.7158854365	0.5902552892
154	0.7158854365	0.5902552889
155	0.7158854365	0.5902552889
156	0.7158854365	0.5902552888
157	0.7158854365	0.5902552888
158	0.7158854365	0.5902552887
159	0.7158854365	0.5902552886
160	0.7158854365	0.5902552886
161	0.7158854365	0.5902552886
162	0.7158854365	0.5902552886
163	0.7158854365	0.5902552886
164	0.7158854365	0.5902552886
165	0.7158854365	0.5902552885
166	0.7158854365	0.5902552885
167	0.7158854365	0.5902552399
168	0.7158854365	0.5902552395
169	0.7158854365	0.5902552198
170	0.7158854365	0.5902550877
171	0.7158854365	0.5902550566
172	0.7158854365	0.5902550566
173	0.7158854365	0.5902550566
174	0.7158854365	0.5902550566
175	0.7158854365	0.5902550136
176	0.7158854365	0.5902550135
177	0.7158854365	0.590255013
178	0.7158854365	0.590255013
179	0.7158854365	0.590255013
180	0.7158854365	0.590255013
181	0.7158854365	0.590255013
182	0.7158854365	0.5902550129
183	0.7158854365	0.5902550129
184	0.7158854365	0.5902550129
185	0.7158854365	0.5902550129
186	0.7158854365	0.5902550129
187	0.7158854365	0.5902550128
188	0.7158854365	0.5902550128
189	0.7158854365	0.5902550128
190	0.7158854365	0.5902550128
191	0.7158854365	0.5902550128
192	0.7158854365	0.5902550128
193	0.7158854365	0.590255012
194	0.7158854365	0.5902550119
195	0.7158854365	0.5902550119
196	0.7158854365	0.5902550033
197	0.7158854365	0.590254983
198	0.7158854365	0.5902549666
199	0.7158854365	0.5902549533
200	0.7158854365	0.5902549426
201	0.7158854365	0.5902549339
202	0.7158854365	0.5902549268
203	0.7158854365	0.5902549263
204	0.7158854365	0.5902549262
205	0.7158854365	0.5902549205
206	0.7158854365	0.5902549159
207	0.7158854365	0.5902549122
208	0.7158854365	0.5902549092
209	0.7158854365	0.5902549067
210	0.7158854365	0.5902549047
211	0.7158854365	0.5902549031
212	0.7158854365	0.5902549018
213	0.7158854365	0.5902549008
214	0.7158854365	0.5902548023
215	0.7158854365	0.5902548015
216	0.7158854365	0.5902547099
217	0.7158854365	0.5902547094
218	0.7158854365	0.590254709
219	0.7158854365	0.5902546242
220	0.7158854365	0.5902546239
221	0.7158854365	0.5902546139
222	0.7158854365	0.5902546137
223	0.7158854365	0.5902546136
224	0.7158854365	0.5902546134
225	0.7158854365	0.5902546039
226	0.7158854365	0.5902546038
227	0.7158854365	0.5902546038
228	0.7158854365	0.5902546037
229	0.7158854365	0.5902546037
230	0.7158854365	0.590254526
231	0.7158854365	0.590254526
232	0.7158854365	0.590254526
233	0.7158854365	0.5902545259
234	0.7158854365	0.5902545259
235	0.7158854365	0.5902545259
236	0.7158854365	0.5902544534
237	0.7158854365	0.5902544533
238	0.7158854365	0.5902544533
239	0.7158854365	0.5902544533
240	0.7158854365	0.5902544533
241	0.7158854365	0.5902544533
242	0.7158854365	0.5902544533
243	0.7158854365	0.5902544533
244	0.7158854365	0.5902544533
245	0.7158854365	0.5902544452
246	0.7158854365	0.5902544372
247	0.7158854365	0.5902544372
248	0.7158854365	0.5902544372
249	0.7158854365	0.5902544372
250	0.7158854365	0.5902544372
251	0.7158854365	0.5902544372
252	0.7158854365	0.5902544372
253	0.7158854365	0.5902543703
254	0.7158854365	0.5902543629
255	0.7158854365	0.5902543629
256	0.7158854365	0.5902543629
257	0.7158854365	0.5902543629
258	0.7158854365	0.5902543629
259	0.7158854365	0.5902543629
260	0.7158854365	0.5902543629
261	0.7158854365	0.5902543005
262	0.7158854365	0.5902543005
263	0.7158854365	0.5902543005
264	0.7158854365	0.5902543005
265	0.7158854365	0.5902543005
266	0.7158854365	0.5902543005
267	0.7158854365	0.5902543005
268	0.7158854365	0.5902543005
269	0.7158854365	0.5902543005
270	0.7158854365	0.5902542419
271	0.7158854365	0.5902542419
272	0.7158854365	0.5902542419
273	0.7158854365	0.5902542419
274	0.7158854365	0.5902542419
275	0.7158854365	0.5902542419
276	0.7158854365	0.5902541938
277	0.7158854365	0.5902541938
278	0.7158854365	0.5902541938
279	0.7158854365	0.5902541938
280	0.7158854365	0.5902541938
281	0.7158854365	0.5902541938
282	0.7158854365	0.5902541938
